priority,kind,slug,title_public,slug_path,html_status,pdf_status,html_units,pdf_pages,expected_pdf_pages,image_refs,data_assets,missing_images_count,unknown_data_assets_count,notion_meta,last_modified,local_state,issues,html_url,pdf_url
P3,decks,abyss-betablocker-mi,"심근경색 후 베타차단제, 계속 vs 중단 — ABYSS 연구",decks/cardio/abyss-betablocker-mi/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/abyss-betablocker-mi/,https://gwanggyo-barun.github.io/patient-education/output/decks/abyss-betablocker-mi.pdf
P3,decks,antihypertensive-classes,항고혈압제 클래스별 효력순위,decks/cardio/antihypertensive-classes/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/antihypertensive-classes/,https://gwanggyo-barun.github.io/patient-education/output/decks/antihypertensive-classes.pdf
P3,decks,chest-pain,흉통 환자교육,decks/cardio/chest-pain/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/chest-pain/,https://gwanggyo-barun.github.io/patient-education/output/decks/chest-pain.pdf
P3,decks,eye-cardiovascular,닥터눈,decks/cardio/eye-cardiovascular/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/eye-cardiovascular/,https://gwanggyo-barun.github.io/patient-education/output/decks/eye-cardiovascular.pdf
P3,decks,htn-2025-aha-acc,2025 AHA/ACC 고혈압 가이드라인 — 목표 <130/80,decks/cardio/htn-2025-aha-acc/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/htn-2025-aha-acc/,https://gwanggyo-barun.github.io/patient-education/output/decks/htn-2025-aha-acc.pdf
P3,decks,morning-htn,아침 고혈압 환자 교육,decks/cardio/htn/morning/,200,200,16,16,16,20,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/htn/morning/,https://gwanggyo-barun.github.io/patient-education/output/decks/morning-htn.pdf
P3,decks,oh-management-2026,기립성 저혈압 관리 — JAMA 2026 리뷰,decks/cardio/orthostatic-hypotension/management-2026/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/orthostatic-hypotension/management-2026/,https://gwanggyo-barun.github.io/patient-education/output/decks/oh-management-2026.pdf
P3,decks,vasovagal-syncope,미주신경성 실신,decks/cardio/vasovagal-syncope/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/vasovagal-syncope/,https://gwanggyo-barun.github.io/patient-education/output/decks/vasovagal-syncope.pdf
P3,decks,chronic-urticaria,만성두드러기 교육자료,decks/derm/chronic-urticaria/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/derm/chronic-urticaria/,https://gwanggyo-barun.github.io/patient-education/output/decks/chronic-urticaria.pdf
P3,decks,endoscopy-cpr-training,내시경실 심정지 응급 대응 직원 교육,decks/emergency/endoscopy/cpr-training/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/emergency/endoscopy/cpr-training/,https://gwanggyo-barun.github.io/patient-education/output/decks/endoscopy-cpr-training.pdf
P3,decks,achieve3-oral-glp1,ACHIEVE-3 — 먹는 GLP-1 직접비교 (오포글리프론 vs 세마글루타이드),decks/endocrine/achieve3-oral-glp1/,200,200,12,12,12,19,3,0,0,ok,2026-06-07,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/achieve3-oral-glp1/,https://gwanggyo-barun.github.io/patient-education/output/decks/achieve3-oral-glp1.pdf
P3,decks,advanced-lipid-biomarkers,고급 지질 바이오마커 환자교육,decks/endocrine/advanced-lipid-biomarkers/,200,200,11,11,11,14,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/advanced-lipid-biomarkers/,https://gwanggyo-barun.github.io/patient-education/output/decks/advanced-lipid-biomarkers.pdf
P3,decks,diabetes-first-visit,당뇨 첫 외래 안내,decks/endocrine/diabetes-first-visit/,200,200,12,12,12,42,26,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/diabetes-first-visit/,https://gwanggyo-barun.github.io/patient-education/output/decks/diabetes-first-visit.pdf
P3,decks,diabetes-mellitus-type2,제2형 당뇨병 환자 교육,decks/endocrine/diabetes-mellitus-type2/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/diabetes-mellitus-type2/,https://gwanggyo-barun.github.io/patient-education/output/decks/diabetes-mellitus-type2.pdf
P3,decks,dyslipidemia,진료설명 — 고지혈증,decks/endocrine/dyslipidemia/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/dyslipidemia/,https://gwanggyo-barun.github.io/patient-education/output/decks/dyslipidemia.pdf
P3,decks,glp1-week-01-start,마운자로·위고비 1회차 — 치료 시작 전 이해,decks/endocrine/glp1-weight-management/week-01-start/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-01-start/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-01-start.pdf
P3,decks,glp1-week-02-aerobic,마운자로·위고비 2회차 — 걷기와 활동량,decks/endocrine/glp1-weight-management/week-02-aerobic/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-02-aerobic/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-02-aerobic.pdf
P3,decks,glp1-week-03-strength,마운자로·위고비 3회차 — 근육 보존,decks/endocrine/glp1-weight-management/week-03-strength/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-03-strength/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-03-strength.pdf
P3,decks,glp1-week-04-nutrition,마운자로·위고비 4회차 — 식단 기본,decks/endocrine/glp1-weight-management/week-04-nutrition/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-04-nutrition/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-04-nutrition.pdf
P3,decks,glp1-week-05-gi-effects,마운자로·위고비 5회차 — 위장관 부작용 줄이기,decks/endocrine/glp1-weight-management/week-05-gi-effects/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-05-gi-effects/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-05-gi-effects.pdf
P3,decks,glp1-week-06-injection,마운자로·위고비 6회차 — 주사·보관·놓쳤을 때,decks/endocrine/glp1-weight-management/week-06-injection/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-06-injection/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-06-injection.pdf
P3,decks,glp1-week-07-safety,마운자로·위고비 7회차 — 위험 신호와 진료 연락,decks/endocrine/glp1-weight-management/week-07-safety/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-07-safety/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-07-safety.pdf
P3,decks,glp1-week-08-maintenance,마운자로·위고비 8회차 — 감량 이후 유지 전략,decks/endocrine/glp1-weight-management/week-08-maintenance/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-08-maintenance/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-08-maintenance.pdf
P3,decks,gout,통풍 환자 교육,decks/endocrine/gout/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/gout/,https://gwanggyo-barun.github.io/patient-education/output/decks/gout.pdf
P3,decks,hyperthyroidism,갑상선 기능항진증,decks/endocrine/hyperthyroidism/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/hyperthyroidism/,https://gwanggyo-barun.github.io/patient-education/output/decks/hyperthyroidism.pdf
P3,decks,hypothyroidism,갑상선기능저하증 환자교육,decks/endocrine/hypothyroidism/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/hypothyroidism/,https://gwanggyo-barun.github.io/patient-education/output/decks/hypothyroidism.pdf
P3,decks,osteoporosis,골다공증 환자교육,decks/endocrine/osteoporosis/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/osteoporosis/,https://gwanggyo-barun.github.io/patient-education/output/decks/osteoporosis.pdf
P3,decks,prediabetes-remission,전당뇨 관해 — 심혈관 위험 절반으로,decks/endocrine/prediabetes-remission/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/prediabetes-remission/,https://gwanggyo-barun.github.io/patient-education/output/decks/prediabetes-remission.pdf
P3,decks,subacute-thyroiditis,진료설명 — 아급성 갑상선염,decks/endocrine/subacute-thyroiditis/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/subacute-thyroiditis/,https://gwanggyo-barun.github.io/patient-education/output/decks/subacute-thyroiditis.pdf
P3,decks,baxdrostat-baxhtn,Baxdrostat — 알도스테론 합성효소 억제제 FDA 승인 (BaxHTN),decks/general/papers-20260524/baxdrostat-baxhtn/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260524/baxdrostat-baxhtn/,https://gwanggyo-barun.github.io/patient-education/output/decks/baxdrostat-baxhtn.pdf
P3,decks,rsv-realworld,RSV 백신 — 실사용 근거 기반 가이드 (JAMA Internal Med),decks/general/papers-20260524/rsv-realworld/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260524/rsv-realworld/,https://gwanggyo-barun.github.io/patient-education/output/decks/rsv-realworld.pdf
P3,decks,sglt2-glp1-combo,SGLT-2i + GLP-1RA 병용 — 심혈관·신장 30% 개선,decks/general/papers-20260524/sglt2-glp1-combo/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260524/sglt2-glp1-combo/,https://gwanggyo-barun.github.io/patient-education/output/decks/sglt2-glp1-combo.pdf
P3,decks,soy-legumes-htn,콩·두류 섭취와 고혈압 — 최적 섭취량 정량화 (BMJ Nutrition),decks/general/papers-20260524/soy-legumes-htn/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260524/soy-legumes-htn/,https://gwanggyo-barun.github.io/patient-education/output/decks/soy-legumes-htn.pdf
P3,decks,tramadol-bmj,트라마돌 — 만성 통증 효과 미미·심혈관 위험 증가 (BMJ 메타분석),decks/general/papers-20260524/tramadol-bmj/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260524/tramadol-bmj/,https://gwanggyo-barun.github.io/patient-education/output/decks/tramadol-bmj.pdf
P3,decks,cpap-personalized-cv,CPAP 개인 맞춤 심혈관 효과 — Mount Sinai AI (SAVE 재분석),decks/general/papers-20260525/cpap-personalized-cv/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260525/cpap-personalized-cv/,https://gwanggyo-barun.github.io/patient-education/output/decks/cpap-personalized-cv.pdf
P3,decks,lp-a-cardiovascular-risk,Lp(a)와 심혈관 위험 — 보편적 1회 선별 (2026 ACC/AHA 가이드라인),decks/general/papers-20260525/lp-a-cardiovascular-risk/,200,200,13,13,13,13,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260525/lp-a-cardiovascular-risk/,https://gwanggyo-barun.github.io/patient-education/output/decks/lp-a-cardiovascular-risk.pdf
P3,decks,once-weekly-insulin,주1회 기저인슐린 (Efsitora·Icodec) 메타분석,decks/general/papers-20260525/once-weekly-insulin/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260525/once-weekly-insulin/,https://gwanggyo-barun.github.io/patient-education/output/decks/once-weekly-insulin.pdf
P3,decks,surmount5-tirzepatide-vs-semaglutide,SURMOUNT-5 — 터제파타이드 vs 세마글루타이드 비만 직접 비교,decks/general/papers-20260525/surmount5-tirzepatide-vs-semaglutide/,200,200,13,13,13,13,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260525/surmount5-tirzepatide-vs-semaglutide/,https://gwanggyo-barun.github.io/patient-education/output/decks/surmount5-tirzepatide-vs-semaglutide.pdf
P3,decks,vutrisiran-attr-cm-helios-b,Vutrisiran ATTR-CM — HELIOS-B 3상,decks/general/papers-20260525/vutrisiran-attr-cm-helios-b/,200,200,13,13,13,13,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260525/vutrisiran-attr-cm-helios-b/,https://gwanggyo-barun.github.io/patient-education/output/decks/vutrisiran-attr-cm-helios-b.pdf
P3,decks,bepirovirsen-hbv-phase3,베피로비르센 3상 — 만성 B형간염 기능적 완치,decks/general/papers-20260528/bepirovirsen-hbv-phase3/,200,200,12,12,12,16,0,0,0,ok,2026-06-07,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260528/bepirovirsen-hbv-phase3/,https://gwanggyo-barun.github.io/patient-education/output/decks/bepirovirsen-hbv-phase3.pdf
P3,decks,acs-crc-screening-blood-test-2026,ACS 2026 대장암 검진 가이드라인 — 혈액검사 신규 추가,decks/general/papers-20260530/acs-crc-screening-blood-test-2026/,200,200,16,16,16,20,0,0,0,ok,2026-06-06,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260530/acs-crc-screening-blood-test-2026/,https://gwanggyo-barun.github.io/patient-education/output/decks/acs-crc-screening-blood-test-2026.pdf
P3,decks,calcium-vitamin-d-fracture-falls-bmj,BMJ 2026 칼슘·비타민 D 보충제와 골절·낙상 예방,decks/general/papers-20260530/calcium-vitamin-d-fracture-falls-bmj/,200,200,13,13,13,17,0,0,0,ok,2026-06-06,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260530/calcium-vitamin-d-fracture-falls-bmj/,https://gwanggyo-barun.github.io/patient-education/output/decks/calcium-vitamin-d-fracture-falls-bmj.pdf
P3,decks,easo-obesity-pharmacotherapy-2026,EASO 2026 비만 약물치료 알고리즘 업데이트,decks/general/papers-20260530/easo-obesity-pharmacotherapy-2026/,200,200,13,13,13,17,0,0,0,ok,2026-06-06,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260530/easo-obesity-pharmacotherapy-2026/,https://gwanggyo-barun.github.io/patient-education/output/decks/easo-obesity-pharmacotherapy-2026.pdf
P3,decks,finerenone-t1d-ckd-fine-one,Finerenone in Type 1 Diabetes and CKD — FINE-ONE,decks/general/papers-20260530/finerenone-t1d-ckd-fine-one/,200,200,13,13,13,17,0,0,0,ok,2026-06-07,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260530/finerenone-t1d-ckd-fine-one/,https://gwanggyo-barun.github.io/patient-education/output/decks/finerenone-t1d-ckd-fine-one.pdf
P3,decks,t1d-glp1-cardiorenal,제1형 당뇨병 GLP-1RA — 심혈관·신장 사건 감소 (Nature Medicine 2026),decks/general/papers-20260530/t1d-glp1-cardiorenal/,200,200,12,12,12,12,0,0,0,ok,2026-06-10,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/papers-20260530/t1d-glp1-cardiorenal/,https://gwanggyo-barun.github.io/patient-education/output/decks/t1d-glp1-cardiorenal.pdf
P3,decks,teen-height-growth,중1 남학생 키 성장 영양제 가이드 — 비타민D·칼슘·아연·HT042 + 수면·운동,decks/general/teen-height-growth/,200,200,12,12,12,17,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/general/teen-height-growth/,https://gwanggyo-barun.github.io/patient-education/output/decks/teen-height-growth.pdf
P3,decks,acute-gastroenteritis-diet,급성장염 식이관리,decks/gi/acute-gastroenteritis-diet/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/acute-gastroenteritis-diet/,https://gwanggyo-barun.github.io/patient-education/output/decks/acute-gastroenteritis-diet.pdf
P3,decks,appendicitis-diverticulitis,맹장염 / 급성 게실염,decks/gi/appendicitis-diverticulitis/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/appendicitis-diverticulitis/,https://gwanggyo-barun.github.io/patient-education/output/decks/appendicitis-diverticulitis.pdf
P3,decks,atrophic-gastritis,위축성위염 / 장상피화생,decks/gi/atrophic-gastritis/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/atrophic-gastritis/,https://gwanggyo-barun.github.io/patient-education/output/decks/atrophic-gastritis.pdf
P3,decks,bowel-prep-low-volume,저용량 장정결 (1L PEG-ascorbate) — 4L PEG와 동등 이상,decks/gi/bowel-prep-low-volume/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/bowel-prep-low-volume/,https://gwanggyo-barun.github.io/patient-education/output/decks/bowel-prep-low-volume.pdf
P3,decks,chronic-constipation,만성변비 환자교육,decks/gi/chronic-constipation/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/chronic-constipation/,https://gwanggyo-barun.github.io/patient-education/output/decks/chronic-constipation.pdf
P3,decks,gerd,역류성 식도염 생활관리,decks/gi/gerd/lifestyle/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/gerd/lifestyle/,https://gwanggyo-barun.github.io/patient-education/output/decks/gerd.pdf
P3,decks,hpylori,헬리코박터 제균 치료 안내,decks/gi/h-pylori/eradication/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/h-pylori/eradication/,https://gwanggyo-barun.github.io/patient-education/output/decks/hpylori.pdf
P3,decks,hpylori-overview,진료설명 — 헬리코박터 파일로리 개요·진단 안내,decks/gi/hpylori-overview/,200,200,14,14,14,18,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/hpylori-overview/,https://gwanggyo-barun.github.io/patient-education/output/decks/hpylori-overview.pdf
P3,decks,ibs,IBS 환자교육,decks/gi/ibs/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/ibs/,https://gwanggyo-barun.github.io/patient-education/output/decks/ibs.pdf
P3,decks,post-polypectomy,용종절제술 후 관리,decks/gi/post-polypectomy/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/post-polypectomy/,https://gwanggyo-barun.github.io/patient-education/output/decks/post-polypectomy.pdf
P3,decks,refractory-dyspepsia,내시경 정상인데 끊으면 재발하는 쓰림 — 기능성·과민성 소화불량의 이해와 관리,decks/gi/refractory-dyspepsia/,200,200,13,13,13,18,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/gi/refractory-dyspepsia/,https://gwanggyo-barun.github.io/patient-education/output/decks/refractory-dyspepsia.pdf
P3,decks,iron-deficiency-anemia,철결핍성 빈혈 환자 교육,decks/heme/iron-deficiency-anemia/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/heme/iron-deficiency-anemia/,https://gwanggyo-barun.github.io/patient-education/output/decks/iron-deficiency-anemia.pdf
P3,decks,herpes-zoster,대상포진 환자교육,decks/infectious/herpes-zoster/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/infectious/herpes-zoster/,https://gwanggyo-barun.github.io/patient-education/output/decks/herpes-zoster.pdf
P3,decks,influenza-antivirals,인플루엔자 항바이러스제 비교,decks/infectious/influenza-antivirals/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/infectious/influenza-antivirals/,https://gwanggyo-barun.github.io/patient-education/output/decks/influenza-antivirals.pdf
P3,decks,ltbi-overview,잠복결핵 교육자료,decks/infectious/ltbi-overview/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/infectious/ltbi-overview/,https://gwanggyo-barun.github.io/patient-education/output/decks/ltbi-overview.pdf
P3,decks,ltbi-treatment,진료설명 — 잠복결핵감염(LTBI) 치료,decks/infectious/ltbi-treatment/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/infectious/ltbi-treatment/,https://gwanggyo-barun.github.io/patient-education/output/decks/ltbi-treatment.pdf
P3,decks,migraine-diagnosis,편두통 — 위장 증상에 가려진 진짜 원인,decks/neurology/migraine/diagnosis/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/neurology/migraine/diagnosis/,https://gwanggyo-barun.github.io/patient-education/output/decks/migraine-diagnosis.pdf
P3,decks,asthma,천식 환자교육,decks/pulmo/asthma/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/pulmo/asthma/,https://gwanggyo-barun.github.io/patient-education/output/decks/asthma.pdf
P3,decks,osa,폐쇄성 수면무호흡증 환자교육,decks/pulmo/osa/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/pulmo/osa/,https://gwanggyo-barun.github.io/patient-education/output/decks/osa.pdf
P3,decks,pft-interpretation,폐기능검사 결과 해석,decks/pulmo/pft-interpretation/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/pulmo/pft-interpretation/,https://gwanggyo-barun.github.io/patient-education/output/decks/pft-interpretation.pdf
P3,decks,pft,폐기능검사(PFT) 환자교육,decks/pulmo/pft/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/pulmo/pft/,https://gwanggyo-barun.github.io/patient-education/output/decks/pft.pdf
P3,decks,post-infectious-cough,감염후기침 환자교육,decks/pulmo/post-infectious-cough/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/pulmo/post-infectious-cough/,https://gwanggyo-barun.github.io/patient-education/output/decks/post-infectious-cough.pdf
P3,decks,microscopic-hematuria,현미경적 혈뇨,decks/uro/microscopic-hematuria/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/uro/microscopic-hematuria/,https://gwanggyo-barun.github.io/patient-education/output/decks/microscopic-hematuria.pdf
P3,decks,pneumococcal-comparison,폐렴구균백신 캡박시브 비교,decks/vaccines/pneumococcal-comparison/,200,200,13,13,13,17,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/vaccines/pneumococcal-comparison/,https://gwanggyo-barun.github.io/patient-education/output/decks/pneumococcal-comparison.pdf
P3,decks,pneumococcal,폐렴구균 백신 환자설명,decks/vaccines/pneumococcal/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/vaccines/pneumococcal/,https://gwanggyo-barun.github.io/patient-education/output/decks/pneumococcal.pdf
P3,handouts,cpr-flowchart,내시경실 Code Blue 플로우차트,handouts/emergency/cpr-flowchart/,200,200,1,1,1,2,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/handouts/emergency/cpr-flowchart/,https://gwanggyo-barun.github.io/patient-education/output/handouts/cpr-flowchart.pdf
P3,handouts,crash-cart-checklist,응급카트 점검 체크리스트,handouts/emergency/crash-cart-checklist/,200,200,1,1,1,2,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/handouts/emergency/crash-cart-checklist/,https://gwanggyo-barun.github.io/patient-education/output/handouts/crash-cart-checklist.pdf
P3,handouts,crash-cart-map,응급카트 약품·장비 위치 맵,handouts/emergency/crash-cart-map/,200,200,1,1,1,2,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/handouts/emergency/crash-cart-map/,https://gwanggyo-barun.github.io/patient-education/output/handouts/crash-cart-map.pdf
